angDist,TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,EDR?,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,cell,sky,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch,Ns,Nd,Ng,Nr,Ni,Nz,Ny,gPSFf,gmag,e_gmag,gmagStd,o_gmag,b_gmag,B_gmag,gKmag,e_gKmag,gFlags,rPSFf,rmag,e_rmag,rmagStd,o_rmag,b_rmag,B_rmag,rKmag,e_rKmag,rFlags,iPSFf,imag,e_imag,imagStd,o_imag,b_imag,B_imag,iKmag,e_iKmag,iFlags,zPSFf,zmag,e_zmag,zmagStd,o_zmag,b_zmag,B_zmag,zKmag,e_zKmag,zFlags,yPSFf,ymag,e_ymag,ymagStd,o_ymag,b_ymag,B_ymag,yKmag,e_yKmag,yFlags
0.102441,39633410678851119,188.19052348002373,62.02971808592186,-0.002,STAR,,,,38.813092608261925,True,182431881903776403,188.19054189508,62.02969097242,0.020999999716877937,0.020999999716877937,90.0,2478,59,436527232,52,0.0206477599,0.0206477599,56019.354072121,10,18,0,5,8,4,1,,,,,0,,,,,114720,0.999334990978241,21.5393009185791,0.10849999636411667,0.22419999539852142,5,21.280000686645508,21.85689926147461,21.523500442504883,0.10450000315904617,115000,0.9996730089187622,21.27280044555664,0.04149999842047691,0.1251000016927719,8,21.089599609375,21.425399780273438,21.27050018310547,0.09489999711513519,115000,0.9991160035133362,20.791400909423828,0.05689999833703041,0.14110000431537628,4,20.69930076599121,21.011499404907227,20.853900909423828,0.25099998712539673,115000,0.9984719753265381,19.995899200439453,0.17960000038146973,,1,19.995899200439453,19.995899200439453,,,115000
0.116248,39633410691432990,189.6185409086753,61.98641710432697,2.2788500000000003,QSO,0.4942453114415646,0.22622220539461482,8.626881999303001e-05,45.85672212851278,True,182381896187974466,189.61856779162,61.98638738409,0.02199999988079071,0.02199999988079071,90.0,2478,57,436527232,52,0.02208648673,0.02208648673,55921.479214873,10,15,1,1,7,5,1,0.999002993106842,21.707500457763672,0.14059999585151672,,1,21.707500457763672,21.707500457763672,21.07509994506836,0.1662999987602234,16892216,0.9985079765319824,21.746000289916992,0.14910000562667847,,1,21.746000289916992,21.746000289916992,22.032499313354492,0.2827000021934509,115000,0.9993860125541687,21.412200927734375,0.08429999649524689,0.24729999899864197,7,21.01580047607422,21.687700271606445,21.362699508666992,0.17810000479221344,115000,0.9985730051994324,20.74810028076172,0.06040000170469284,0.1348000019788742,4,20.678300857543945,20.9512996673584,20.507699966430664,0.12860000133514404,115000,0.999426007270813,19.74959945678711,0.16979999840259552,,1,19.74959945678711,19.74959945678711,20.14069938659668,0.3319999873638153,115000
0.006164,39633411324773644,269.6016245498656,62.0556514096536,0.657,QSO,-0.019499699241199764,0.0,2.68793712831874e-05,44.66499597132095,True,182462696016407529,269.60162407366,62.05565310728,0.0020000000949949026,0.0020000000949949026,0.0,2488,57,436527256,52,0.00188527778,0.00196052087,56054.928333278,5,100,8,23,34,16,19,0.9994660019874573,18.995100021362305,0.010200000368058681,0.050700001418590546,5,18.951200485229492,19.083900451660156,19.024700164794922,0.017799999564886093,115000,0.9996770024299622,19.17650032043457,0.01679999940097332,0.08860000222921371,19,19.07939910888672,19.34000015258789,19.22010040283203,0.017000000923871994,115000,0.999688982963562,19.2052001953125,0.010900000110268593,0.05180000141263008,28,19.095699310302734,19.301799774169922,19.216999053955078,0.01720000058412552,115000,0.9996820092201233,19.263399124145508,0.017100000753998756,0.09239999949932098,14,19.10460090637207,19.416900634765625,19.229700088500977,0.05909999832510948,115000,0.9992089867591858,19.164199829101562,0.022700000554323196,0.13040000200271606,17,18.90999984741211,19.313800811767578,19.088600158691406,0.057100001722574234,115000
0.02373,39633411337356396,271.2115587113286,62.03158669012329,1.4658,QSO,,,,45.46833415233769,True,182432712115658653,271.21155972113,62.03158011535,0.006000000052154064,0.006000000052154064,90.0,2488,55,436527232,52,0.00623039336,0.00623039336,56417.086097282,5,70,0,9,39,16,6,,,,,0,,,,,114720,0.9996870160102844,21.247499465942383,0.061799999326467514,0.25519999861717224,9,20.961700439453125,21.739999771118164,21.273000717163086,0.09969999641180038,115000,0.9996920228004456,20.44529914855957,0.032499998807907104,0.17990000545978546,34,20.190900802612305,20.827899932861328,20.50670051574707,0.04540000110864639,115000,0.9993789792060852,20.139999389648438,0.03750000149011612,0.17080000042915344,16,19.846099853515625,20.53339958190918,20.208200454711914,0.09309999644756317,115000,0.9996309876441956,19.62820053100586,0.051899999380111694,0.2159000039100647,6,19.41939926147461,19.98539924621582,19.37299919128418,0.15479999780654907,115000
0.049714,39633411341551632,271.82431525436067,62.070198980235666,1.417,QSO,0.35743364648750076,0.0,2.684827566410454e-05,45.43494089510293,True,182482718242334920,271.82430996826,62.07018539461,0.012000000104308128,0.012000000104308128,90.0,2488,55,436527248,52,0.01220302832,0.01220302832,56285.380142074,5,40,1,6,27,4,2,0.8867909908294678,22.599300384521484,0.20149999856948853,,1,22.599300384521484,22.599300384521484,22.256000518798828,0.2766999900341034,115000,0.9990079998970032,21.739999771118164,0.07339999824762344,0.21130000054836273,6,21.42729949951172,21.927499771118164,21.997900009155273,0.10849999636411667,115000,0.9997259974479675,20.946800231933594,0.042399998754262924,0.2029000073671341,24,20.65290069580078,21.421600341796875,20.89430046081543,0.047200001776218414,115000,0.9989169836044312,20.71820068359375,0.24079999327659607,0.28529998660087585,3,20.594999313354492,21.08810043334961,,,115000,0.9979900121688843,20.081600189208984,0.18490000069141388,0.28529998660087585,2,19.9773006439209,20.34709930419922,20.365699768066406,0.10980000346899033,115000
0.097227,39633413522590971,189.04631207743842,62.37467280883765,0.9806,QSO,,,,44.60450734278699,True,182851890465520390,189.04636732326,62.37466425376,0.024000000208616257,0.024000000208616257,90.0,2478,68,436527104,52,0.02405069935,0.02405069935,56333.372739581,10,13,1,3,6,2,1,0.9989039897918701,21.678600311279297,0.19830000400543213,,1,21.678600311279297,21.678600311279297,21.847700119018555,0.32499998807907104,115000,0.9992709755897522,21.567800521850586,0.16529999673366547,0.23589999973773956,3,21.400400161743164,21.80299949645996,21.317699432373047,0.12189999967813492,115000,0.9988470077514648,21.09630012512207,0.07850000262260437,0.21449999511241913,6,20.889799118041992,21.436599731445312,20.974000930786133,0.14259999990463257,115000,0.9990050196647644,20.759300231933594,0.195700004696846,0.2800999879837036,2,20.533199310302734,20.924699783325195,20.928600311279297,0.14910000562667847,115000,0.9972779750823975,20.205699920654297,0.15289999544620514,,1,20.205699920654297,20.205699920654297,20.05139923095703,0.23090000450611115,114992
0.016959,39633414155927929,269.2352391678548,62.18733452900574,1.457,QSO,0.3104072441642305,0.020442927100501274,2.631427312347785e-05,45.60445882748794,True,182622692352785573,269.23523593781,62.18733899226,0.006000000052154064,0.006000000052154064,90.0,2488,58,436527232,52,0.0064888527,0.0064888527,55994.423391085,5,65,6,14,27,11,7,0.9992259740829468,21.997299194335938,0.125,0.262800008058548,5,21.523799896240234,22.190799713134766,22.148700714111328,0.21400000154972076,115000,0.9996749758720398,20.828399658203125,0.03229999914765358,0.15109999477863312,13,20.53380012512207,21.032899856567383,20.945499420166016,0.061900001019239426,115000,0.9995390176773071,20.238000869750977,0.017500000074505806,0.13510000705718994,21,20.03510093688965,20.64929962158203,20.335399627685547,0.035999998450279236,115000,0.9994959831237793,20.081300735473633,0.03840000182390213,0.1485999971628189,11,19.85700035095215,20.27199935913086,20.193599700927734,0.07010000199079514,115000,0.999629020690918,19.74970054626465,0.14499999582767487,0.3441999852657318,6,19.346799850463867,20.08139991760254,19.598100662231445,0.13220000267028809,115000
0.034922,39633414155929448,269.3787325676376,62.20726134668081,0.3003,QSO,,,,43.522766022087104,True,182642693787439512,269.37873451394,62.20727100479,0.009999999776482582,0.009999999776482582,90.0,2488,58,436527104,52,0.0096369262,0.0096369262,56234.345339478,4,50,0,4,29,11,6,,,,,0,,,,,16416,0.9996610283851624,21.542200088500977,0.13249999284744263,0.3377000093460083,3,21.1117000579834,21.72760009765625,21.452999114990234,0.021400000900030136,115000,0.9996849894523621,20.77429962158203,0.026200000196695328,0.14229999482631683,26,20.473400115966797,21.084400177001953,20.899599075317383,0.043699998408555984,115000,0.9996860027313232,20.266000747680664,0.05209999904036522,0.12549999356269836,11,20.004100799560547,20.451200485229492,20.149700164794922,0.08739999681711197,115000,0.9989609718322754,19.778099060058594,0.08649999648332596,0.2612999975681305,6,19.28580093383789,19.926700592041016,19.86090087890625,0.12610000371932983,115000
0.029557,39633414185288663,273.0412251002253,62.356289538348584,0.2383,GALAXY,,,,43.48432183287259,True,182822730412918253,273.04120852568,62.35628666224,0.004000000189989805,0.004000000189989805,0.0,2488,53,436527248,52,0.00396874105,0.00397315171,56353.017104109,5,71,10,16,36,9,0,0.9996899962425232,20.631900787353516,0.022099999710917473,0.08810000121593475,10,20.529800415039062,20.837200164794922,20.59869956970215,0.05350000038743019,115000,0.99965900182724,19.83989906311035,0.01899999938905239,0.07180000096559525,16,19.715099334716797,19.957799911499023,19.78689956665039,0.03830000013113022,115000,0.9997389912605286,20.1289005279541,0.021700000390410423,0.09889999777078629,33,19.96310043334961,20.33930015563965,20.130699157714844,0.03139999881386757,115000,0.9986940026283264,20.38610076904297,0.03460000082850456,0.11490000039339066,8,20.298500061035156,20.585599899291992,20.32229995727539,0.06650000065565109,115000,,,,,0,,,,,114720
0.015724,39633416949338538,267.84407695211604,62.471832771153466,1.43255,QSO,0.5013383338694954,0.03349511352228238,1.988235929738766e-05,45.40288977962035,True,182962678441086908,267.84408489985,62.47183040832,0.00800000037997961,0.00800000037997961,90.0,2487,60,436527232,52,0.00781973357,0.00781973357,56245.485207372,10,58,3,11,27,14,3,0.9989830255508423,22.279600143432617,0.05050000175833702,0.20250000059604645,3,22.002500534057617,22.3346004486084,,,115000,0.9994959831237793,21.378299713134766,0.034699998795986176,0.18569999933242798,11,20.962900161743164,21.55389976501465,21.520099639892578,0.08299999684095383,115000,0.9996629953384399,20.54450035095215,0.025299999862909317,0.13349999487400055,26,20.422300338745117,20.84480094909668,20.61389923095703,0.043699998408555984,115000,0.9995570182800293,20.132699966430664,0.04899999871850014,0.16290000081062317,13,20.00589942932129,20.536699295043945,20.029300689697266,0.0674000009894371,115000,0.998088002204895,19.729799270629883,0.011300000362098217,0.03909999877214432,3,19.680099487304688,19.75349998474121,19.742599487304688,0.07649999856948853,115000
0.100713,39633416970306704,270.15103944674684,62.55052972475784,1.82495,QSO,0.7425717395135261,0.12289320674003192,2.597423009642984e-05,45.38491693652809,True,183062701510411465,270.15107656585,62.55050759162,0.026000000536441803,0.026000000536441803,90.0,2488,67,436527104,52,0.02604041858,0.02604041858,56229.529202678,4,14,0,0,8,6,0,,,,,0,,,,,16416,,,,,0,,,,,114720,0.9991679787635803,21.574600219726562,0.0697999969124794,0.17960000038146973,7,21.27989959716797,21.813499450683594,21.640300750732422,0.11940000206232071,115000,0.9996700286865234,20.766399383544922,0.13899999856948853,0.310699999332428,6,20.32390022277832,20.993999481201172,20.762800216674805,0.1818999946117401,115000,,,,,0,,,,,114720
0.054493,39633416982888841,271.6728759692777,62.54120424783209,1.63195,QSO,0.4219879634842194,0.018796439837637773,2.9859834284490985e-05,45.635086640274736,True,183052716729440194,271.67284317532,62.54120492638,0.010999999940395355,0.010999999940395355,90.0,2488,65,436527232,52,0.01128411345,0.01128411345,56339.122698482,4,44,0,1,30,11,2,,,,,0,,,,,16416,0.9978500008583069,21.4689998626709,0.15240000188350677,,1,21.4689998626709,21.4689998626709,20.63409996032715,0.164900004863739,16892216,0.9997069835662842,21.05389976501465,0.023900000378489494,0.13809999823570251,27,20.809600830078125,21.329599380493164,21.154600143432617,0.05339999869465828,115000,0.9990050196647644,20.656700134277344,0.05380000174045563,0.2304999977350235,8,20.24209976196289,20.791099548339844,20.582799911499023,0.14589999616146088,115000,0.9978749752044678,20.229900360107422,0.14069999754428864,0.20270000398159027,2,20.11639976501465,20.397899627685547,,,115000
0.025213,39633416982891525,272.01916252783525,62.43674963611727,0.8178,QSO,,,,44.851449426792186,True,182922720192174766,272.01917251168,62.43674437232,0.010999999940395355,0.010999999940395355,90.0,2488,64,436527232,52,0.01062475234,0.01062475234,56285.625052226,10,47,0,7,30,8,2,,,,,0,,,,,114720,0.9990450143814087,21.595199584960938,0.053599998354911804,0.14059999585151672,6,21.399799346923828,21.749900817871094,21.374799728393555,0.08619999885559082,115000,0.9995269775390625,21.111099243164062,0.02419999986886978,0.13619999587535858,30,20.816099166870117,21.258699417114258,21.128400802612305,0.04540000110864639,115000,0.9995419979095459,20.419200897216797,0.04800000041723251,0.14579999446868896,8,20.275100708007812,20.643699645996094,20.45009994506836,0.11389999836683273,115000,0.9976789951324463,20.319499969482422,0.18410000205039978,,1,20.319499969482422,20.319499969482422,,,115000
0.029401,39633419138763230,190.14577802499662,62.850055586787,1.4648,QSO,0.23433098347243098,0.0,2.709785083987957e-05,44.99328879395338,True,183421901459550975,190.14576399838,62.85006065934,0.019999999552965164,0.019999999552965164,90.0,2478,77,436527232,52,0.01961564797,0.01961564797,56064.887700311,4,20,0,8,10,2,0,,,,,0,,,,,114720,0.99965900182724,21.67799949645996,0.04540000110864639,0.1386999934911728,8,21.516000747680664,21.904699325561523,21.76759910583496,0.0794999971985817,115000,0.9992020130157471,21.350099563598633,0.04899999871850014,0.120899997651577,9,21.183500289916992,21.484800338745117,21.343000411987305,0.18529999256134033,115000,0.9978529810905457,20.875200271606445,0.14569999277591705,0.21230000257492065,2,20.765499114990234,21.05699920654297,20.910600662231445,0.07280000299215317,115000,,,,,0,,,,,16416
0.005152,39633419746935015,268.3936039842932,62.710156426545375,1.7953,QSO,0.25510794816794924,0.0,2.4028349707730782e-05,45.79406501099384,True,183252683935362927,268.39360326734,62.71015503363,0.004000000189989805,0.004000000189989805,90.0,2488,69,436527248,52,0.00396894722,0.00393508119,56159.668166762,10,77,8,19,26,10,14,0.9998220205307007,21.113100051879883,0.05429999902844429,0.18889999389648438,8,21.006000518798828,21.507699966430664,21.101999282836914,0.11180000007152557,115000,0.9992200136184692,20.52720069885254,0.029999999329447746,0.1136000007390976,16,20.331100463867188,20.747699737548828,20.530899047851562,0.03840000182390213,115000,0.9989489912986755,19.69890022277832,0.027499999850988388,0.08479999750852585,25,19.553600311279297,19.869199752807617,19.7947998046875,0.0142000000923872,115000,0.9996539950370789,19.357099533081055,0.0215000007301569,0.11410000175237656,10,19.064800262451172,19.437599182128906,19.372499465942383,0.1404000073671341,115000,0.9996680021286011,19.114200592041016,0.03819999843835831,0.22470000386238098,14,18.627300262451172,19.309900283813477,19.11669921875,0.09009999781847,115000
0.074378,39633419767908709,271.3952699833149,62.8477047527426,3.0659,QSO,0.514368026036004,0.0,8.109253308613199e-05,46.578342809680066,True,183412713953347972,271.39529013034,62.84768625062,0.02800000086426735,0.02800000086426735,90.0,2488,75,436527104,52,0.02772229424,0.02772229424,55890.997453911,3,15,0,0,9,5,1,,,,,0,,,,,16416,,,,,0,,,,,16416,0.9991120100021362,21.456899642944336,0.03620000183582306,0.11420000344514847,9,21.29680061340332,21.645099639892578,21.495899200439453,0.12970000505447388,115000,0.9986469745635986,20.880399703979492,0.057500001043081284,0.15309999883174896,4,20.67460060119629,20.98200035095215,20.890100479125977,0.155799999833107,115000,0.4006519913673401,19.716100692749023,0.36970001459121704,,1,19.716100692749023,19.716100692749023,,,118840
0.085743,39633422540343317,272.1801728458182,62.90198482468117,1.9148,QSO,0.430876580878937,0.13917890273965994,3.244671200368846e-05,45.681413022615835,True,183482721802873018,272.18022503526,62.90198628011,0.03099999949336052,0.03099999949336052,90.0,2488,74,436527104,52,0.03071624951,0.03071624951,55909.66493274,4,10,0,0,8,2,0,,,,,0,,,,,16416,,,,,0,,,,,114720,0.9986109733581543,21.683000564575195,0.07289999723434448,0.17069999873638153,6,21.429100036621094,21.916500091552734,21.80739974975586,0.16060000658035278,115000,0.9982820153236389,21.010000228881836,0.0771000012755394,0.10939999669790268,2,20.926799774169922,21.08099937438965,21.235200881958008,0.18039999902248383,115000,,,,,0,,,,,114720
0.089829,39633422544536508,272.58362852182535,63.034229376864516,0.81,GALAXY,,,,44.6689099259801,True,183642725833391782,272.58357384388,63.03422657128,0.03500000014901161,0.03500000014901161,90.0,2488,74,436527104,52,0.03528244461,0.03528244461,56143.782316038,3,9,0,3,5,1,0,,,,,0,,,,,16416,0.997564971446991,22.22719955444336,0.003800000064074993,0.005400000140070915,2,22.22319984436035,22.23080062866211,22.32309913635254,0.05700000002980232,115000,0.9985499978065491,21.48579978942871,0.06769999861717224,0.13249999284744263,5,21.285400390625,21.631999969482422,21.664100646972656,0.09860000014305115,115000,0.9982460141181946,21.28860092163086,0.19370000064373016,,1,21.28860092163086,21.28860092163086,,,115000,,,,,0,,,,,16416
