TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,FUVmag,NUVmag,gmag,rmag,imag,zmag,ymag,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,W4mag,designation,ra,dec,zsp,spCl,ebv,umag,gmag_1,rmag_1,imag_1,zmag_1,jmag,hmag,kmag,w1mag,w2mag,w3mag,w4mag,FIRST_peak,FIRST_int,VLASS_peak,VLASS_int,broad,src,gmag_2,rmag_2,imag_2,zmag_2
39628487002162664,251.73270420910978,30.187910824795868,1.2092360209632602,QSO,0.2196037778695702,0.0,,19.50189971923828,20.03219985961914,19.567899703979492,19.683000564575195,19.798900604248047,19.74920082092285,19.091999053955078,17.952999114990234,18.038999557495117,17.10300064086914,,,,15.529999732971191,14.258999824523926,11.519000053405762,8.557999610900879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39632951352231224,218.0614838225817,33.56333332262338,1.204960416243802,QSO,0.008398750374260744,0.003930461276783491,,19.502300262451172,18.01609992980957,17.81730079650879,17.841800689697266,17.936100006103516,17.904499053955078,,,,,,,,14.340999603271484,13.034000396728516,10.407999992370605,7.703000068664551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633339061109809,186.3689823919628,56.2723385356698,1.2911917986102528,QSO,-0.048387870768790364,0.00357083826374691,,19.5093994140625,19.225500106811523,18.972900390625,19.122600555419922,19.106000900268555,19.100900650024414,,,,,,,,15.17300033569336,13.913000106811523,11.137999534606934,8.371000289916992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633158278220610,237.27035470899426,44.45683080949038,0.9669634414371923,QSO,-0.02467733429092528,0.008685462140685208,,19.51889991760254,18.969200134277344,18.74209976196289,18.67099952697754,18.640300750732422,18.51490020751953,,,,,,,,14.263999938964844,13.067999839782715,10.428999900817871,8.324000358581543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633410699821416,190.65033120766978,61.990761555931186,1.9141459828248606,QSO,-0.024887980312573,0.0020499691433927473,,19.530399322509766,17.922399520874023,17.973400115966797,17.864599227905273,17.86949920654297,17.91029930114746,,,,,,,,15.32699966430664,13.96500015258789,10.45199966430664,7.934999942779541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633300540621504,172.5378085153575,53.55019344298647,1.6255505392668683,QSO,-0.009016842302420336,0.006782374651898031,,19.537799835205078,18.106199264526367,17.903600692749023,17.767499923706055,17.859500885009766,17.85569953918457,,,,,16.840999603271484,16.493000030517578,15.935999870300293,14.631999969482422,13.177000045776367,9.899999618530273,7.739999771118164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39628517402480767,202.23421080160156,31.80408135677287,1.9172104190020323,QSO,-0.025250699842471303,0.0,,19.5575008392334,18.75819969177246,18.65329933166504,18.446399688720703,18.401199340820312,18.369199752807617,17.823999404907227,17.415000915527344,17.163000106811523,16.597000122070312,,,,15.543000221252441,14.204999923706055,11.083999633789062,8.345000267028809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633123188674457,240.50785757197514,42.48062602344447,1.3626857279173783,QSO,-0.07637212399247073,0.0010435940702044186,,19.559099197387695,18.841400146484375,18.699199676513672,18.603599548339844,18.7908992767334,18.729900360107422,,,,,,,,14.579999923706055,13.713000297546387,11.076000213623047,8.470000267028809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633114284164469,245.12281254296863,42.07243817437704,1.4690234820992034,QSO,0.016587216105086067,0.015056925183089705,,19.560400009155273,18.802900314331055,18.52280044555664,18.383100509643555,18.408000946044922,18.486000061035156,,,,,,,,14.795999526977539,13.477999687194824,10.626999855041504,8.32699966430664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633149591817261,236.0249016890368,44.07666919069662,0.9868175278286522,QSO,-0.020935546052644305,0.004145606052393642,,19.560400009155273,18.552900314331055,18.37190055847168,18.406600952148438,18.512399673461914,18.56679916381836,,,,,,,,14.845999717712402,13.843999862670898,11.08899974822998,8.803999900817871,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39632930758200201,197.37437884556607,32.563776379672106,1.1790738899047957,QSO,0.002627549580221711,0.0,,19.561899185180664,19.035400390625,18.70210075378418,18.578699111938477,18.715299606323242,18.67060089111328,17.927000045776367,17.78499984741211,17.336000442504883,16.715999603271484,,,,15.722000122070312,14.592000007629395,11.652999877929688,8.899999618530273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633123251588737,245.6160252765765,42.45732037636381,1.553111107495318,QSO,0.00043371436099426397,0.0,,19.573699951171875,17.987699508666992,17.862600326538086,17.644800186157227,17.648500442504883,17.710500717163086,,,,,16.749000549316406,16.325000762939453,16.104000091552734,14.625,13.37399959564209,10.482000350952148,8.102999687194824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39628357167484379,196.07798979788876,24.159749041813612,1.8954448236841075,QSO,-0.0222106496502803,0.003145868061007031,,19.574899673461914,18.659900665283203,18.592599868774414,18.385299682617188,18.32379913330078,18.17930030822754,17.46500015258789,17.187999725341797,16.823999404907227,16.222999572753906,,,,15.340999603271484,14.23799991607666,11.156000137329102,8.838000297546387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633318420939339,183.51828436916074,54.6583360984008,1.5689346126349366,QSO,-0.073251136094525,0.0,,19.577299118041992,18.479400634765625,18.29520034790039,18.162500381469727,18.2273006439209,18.276500701904297,,,,,,,,15.470000267028809,14.128000259399414,11.234000205993652,9.079999923706055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
