designation,ra,dec,zsp,umag,gmag,rmag,imag,zmag,j_m_2mass,h_m_2mass,k_m_2mass,w1mpro,w2mpro,w3mpro,w4mpro,broad,src,FUVmag,NUVmag,PS1_gmag,PS1_rmag,PS1_imag,PS1_zmag,PS1_ymag
J140411.50+024800.7,211.0479339,2.8002548,0.21299999952316284,21.37,19.609,18.315,17.782,17.479,16.627,16.084,14.937,14.292,13.404,10.549,7.716,2053.2,w2m,nan,nan,19.608999252319336,18.315000534057617,17.781999588012695,17.479000091552734,18.34939956665039
J140658.28+161142.6,211.7428362,16.1951986,0.9200000166893005,21.823,21.517,20.768,20.023,19.83,17.14,15.78,14.759,12.842,11.492,8.702,6.333,3573.3,w2m,nan,22.126399993896484,21.517000198364258,20.76799964904785,20.023000717163086,19.829999923706055,18.865299224853516
J142355.62+103012.1,215.9817654,10.5033689,0.24500000476837158,21.914,20.38,19.068,18.418,17.992,16.539,15.712,14.92,13.808,12.739,9.608,7.257,1106.9,w2m,nan,nan,20.3799991607666,19.06800079345703,18.417999267578125,17.992000579833984,18.365999221801758
J143027.14+152514.8,217.6131141,15.4208086,0.6600000262260437,20.987,19.905,18.822,18.273,17.901,16.832,15.705,14.9,12.626,11.248,8.397,5.796,3207.2,w2m,nan,20.88949966430664,19.905000686645508,18.82200050354004,18.273000717163086,17.900999069213867,18.3031005859375
J143404.58+093528.5,218.5190767,9.5912547,0.7699999809265137,22.99,23.001,20.97,19.598,18.744,17.003,16.341,14.905,13.2,11.881,8.778,6.344,3501.8,w2m,nan,21.401500701904297,23.000999450683594,20.969999313354492,19.597999572753906,18.743999481201172,18.93160057067871
J144043.26+043918.7,220.1802722,4.6552139,1.9989999532699585,19.486,19.497,18.922,18.255,17.794,16.444,15.66,14.972,14.231,13.221,9.838,7.419,3395.7,w2m,22.11549949645996,22.3843994140625,19.496999740600586,18.922000885009766,18.2549991607666,17.79400062561035,17.907400131225586
J150152.94+020604.9,225.4706072,2.1013648,1.190000057220459,21.259,20.006,18.913,18.438,18.104,16.951,16.294,14.982,13.687,12.232,9.183,6.602,6543.0,w2m,nan,21.387699127197266,20.006000518798828,18.913000106811523,18.437999725341797,18.104000091552734,17.70840072631836
J150948.39+085123.4,227.4516675,8.8565177,0.2199999988079071,21.369,19.845,18.638,18.007,17.621,16.562,15.965,14.846,13.781,12.797,9.818,7.372,5578.8,w2m,nan,nan,19.844999313354492,18.63800048828125,18.006999969482422,17.621000289916992,18.48710060119629
J151521.58+012949.8,228.8400123,1.4973354,2.4200000762939453,24.101,21.654,20.229,20.001,19.051,17.398,16.234,14.915,14.322,13.412,10.181,8.124,5813.3,w2m,nan,nan,21.65399932861328,20.229000091552734,20.000999450683594,19.051000595092773,18.783700942993164
J153238.49+093536.4,233.1603858,9.593455,1.1799999475479126,21.05,19.608,18.448,17.979,17.598,16.489,15.511,14.77,13.331,12.376,9.993,8.252,7448.1,w2m,nan,nan,19.607999801635742,18.447999954223633,17.979000091552734,17.597999572753906,17.946699142456055
J155336.34+100416.9,238.4014679,10.0713705,0.550000011920929,24.303,21.121,19.878,19.089,18.562,16.855,15.617,14.959,13.226,12.072,9.21,6.863,3078.1,w2m,nan,nan,21.121000289916992,19.878000259399414,19.089000701904297,18.562000274658203,18.465999603271484
J155816.17+091906.7,239.5674152,9.3185103,0.3199999928474426,22.15,20.309,18.939,18.526,17.785,16.461,15.851,14.77,13.463,12.356,9.482,6.945,2600.6,w2m,nan,nan,20.30900001525879,18.93899917602539,18.525999069213867,17.78499984741211,18.670499801635742
