TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,EDR?
39627776340267520,220.18615099628184,-0.5548182998591081,1.9450666666666665,QSO,0.5027222120916415,0.02861347301917014,1.5759987714477478E-5,45.94616119919712,true
39627781692197242,179.09993480230776,-0.16774714886945266,1.4280666666666668,GALAXY,,,,45.371656696512176,true
39627781700584681,179.56393154550062,-0.2832187825944407,1.7448,QSO,,,,45.95015977008028,true
39627781708974729,180.1043308015145,-0.27009767784155403,1.3,GALAXY,,,,45.084485838690725,true
39627781721558422,180.9310874635426,-0.257078820711483,0.5627,GALAXY,,,,44.178491627594205,true
39627781725751631,181.1271824053937,-0.14313219807849045,0.2298,GALAXY,,,,43.03995248950228,true
39627782250043271,212.48268701960748,-0.30309527813359444,1.3095,GALAXY,,,,44.88122904444906,true
39627782271009971,213.5496629057467,-0.3256733976324652,2.2477,QSO,0.02216225886062051,0.040739751391057594,1.3139330948884717E-4,46.05047521736227,true
39627782308762552,215.92783975376665,-0.3345905979421131,0.9185,QSO,-0.46265143147705234,0.06564473689971576,6.546951934036098E-5,44.46159368828597,true
39627782371675293,219.6498723683364,-0.16113801955036264,0.8239,QSO,,,,44.72138944186494,true
39627782392648553,220.93991503188002,-0.25740712576845565,3.4074,QSO,0.27537702939710673,0.007749831987276567,1.3653433379101455E-4,45.95380804959528,true
39627787748773288,180.14476993103673,0.015330334619784372,0.9425,QSO,,,,44.782455052988276,true
39627787811689423,183.9881735043659,-0.11999801566186186,1.3357,QSO,,,,45.68303813307721,true
39627787824268718,184.56666282291368,-0.06612119401139437,1.0269,QSO,,,,44.82582357905417,true
39627788273060681,211.40067959568782,0.08591705019513524,1.5817,QSO,0.3226840678061158,0.028487135452301665,3.769584727534929E-5,45.563471186387325,true
39627788285643034,212.0984943034462,-0.10988472987835639,0.4656,GALAXY,,,,43.90422930070759,true
39627788298226192,212.87635039527413,0.051139510135720816,0.9601,GALAXY,,,,45.321880421995004,true
