TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,L6_Z_MATCH_BIN,144_LUM,EDR?
39628346073547767,193.42765421435368,23.70585298680685,2.3336936212958506,QSO,-0.09640314784612342,0.008045216573891808,8.49655299168016E-5,45.96220575895217,,0.0,true
39628346073548715,193.48633214688581,23.84579218306637,0.9037181935640605,QSO,0.040772045370941035,0.002493514525769753,1.746634388136878E-5,44.768485966809614,,0.0,true
39628346073548721,193.48682625963923,23.701767295148414,1.4903239095828622,QSO,0.060853270909400736,0.0,2.9983682351052645E-5,44.98281321055568,,0.0,true
39628346073550033,193.5746161756856,23.831879426287838,1.1901274618618287,QSO,0.010644587758926405,0.0,4.4328195442561427E-5,44.9108609930236,,0.0,true
39628346073550769,193.6181289254497,23.759368691529787,0.7027795323451608,QSO,0.15594741089282316,0.0029738468175121583,1.7873394348917568E-5,44.94077784429694,3,0.0,true
39628346077741947,193.68460774079296,23.79325967607545,1.5064904834419612,QSO,-0.012106060764545845,0.0,4.951667535231288E-5,45.23917193809964,,0.0,true
39628346081936841,193.9913925336701,23.84899287147942,0.9756,QSO,0.668676776204018,0.0,2.3408799411966664E-5,45.43333113235507,6,0.0,true
39628346081939345,194.15038096376261,23.69743595092345,1.8162312317915816,QSO,0.010670444208399243,0.005601682878179762,4.9659421197330106E-5,46.30039368723671,,0.0,true
39628346086129909,194.19544840629598,23.64855120796975,0.8158608577425137,QSO,0.17648157367486272,0.010096766455514074,4.661832435941271E-5,44.96149102879075,,0.0,true
39628346090324259,194.4743637339337,23.71048430841835,1.4550486738718686,QSO,-0.03207191007407528,0.012014599047208262,2.988978706256844E-5,45.07711711258243,,0.0,true
39628346090327804,194.6905084232857,23.75239045194158,1.8160115328143087,QSO,0.15890735287553115,0.0,4.178696678383609E-5,45.40506994530871,,0.0,true
39628346094520824,194.89631462999708,23.732743057236018,1.800442358313568,QSO,-0.003464848039560098,0.0,4.450369736717475E-5,45.95928710076806,,0.0,true
39628346094521494,194.9455037665094,23.818991034994312,1.2972129291597283,QSO,0.053286696933188216,0.0,2.8338734183650228E-5,45.290414700355754,,0.0,true
39628346094521586,194.9522596812582,23.67149256223075,1.4646995894816501,QSO,0.018050166927115585,0.0,2.1196412992213502E-5,45.279286623281635,,0.0,true
39628346098713186,195.0305158594948,23.64071389598815,1.4157832206714067,QSO,-0.037965908334963105,0.007217521827695718,1.9779245888298378E-5,45.17292281791208,,0.0,true
39628346102911876,195.53066236983057,23.75740280738697,1.5419940056857395,QSO,0.008887146024474935,0.0,4.647208956661988E-5,45.209968690929,,0.0,true
39628346107101506,195.55905598396268,23.800405224019094,1.9381902230659234,QSO,0.07635833142283277,0.0,3.821640758526098E-5,45.55405388546051,,0.0,true
39628346107104441,195.70042066648517,23.67919028962009,1.3667229117122537,QSO,5.341039862263308E-4,0.0,4.228238472729329E-5,45.159866111643865,,0.0,true
39628346107105337,195.7483873979412,23.754816737906133,1.0893293648025197,QSO,0.13503743200536222,0.004198387203015049,2.2114724931093553E-5,45.20773529195275,,0.0,true
39628346111298838,195.98462230509156,23.857126351782952,1.3760257174026904,QSO,0.05713526704328731,0.011971191794428215,2.8102439311777595E-5,45.040749719461296,,0.0,true
39628346115490387,196.1184284156527,23.769660235583764,1.8252588586357283,QSO,0.13948499059796848,0.0030262638573718397,2.8822411554257294E-5,45.7606552786239,3,0.0,true
39628346119687450,196.56525978297623,23.69999981842314,0.6727690813817113,QSO,0.08378069940713684,0.0,1.650277035588859E-5,44.45534150951226,2,0.0,true
39628346123879532,196.70362978159426,23.74040775376479,1.2519112042815006,QSO,0.08146449646587772,0.006296054634665165,2.9771079770187983E-5,44.952483151973205,,0.0,true
39628346308429438,208.7302840580716,23.8746903001651,1.3885326218736807,QSO,-0.06450342162409123,0.005150210670157647,2.788113383870932E-5,45.1999337087617,,0.0,true
39628346308431058,208.82138794734456,23.87253919131229,1.4467390869568275,QSO,0.45371032248232546,0.0,1.9053567836240453E-5,44.99489211529224,6,0.0,true
39628351597448619,193.00320818654282,24.060950091851037,0.6494539612122207,QSO,0.6548359640487673,0.0,3.468737098802809E-5,44.170312643534366,6,0.0,true
39628351601642403,193.28561901536625,24.08881135991844,1.6057373544435392,QSO,0.14889591311290307,0.0,4.78884111638883E-5,45.42093466476856,,0.0,true
39628351601642628,193.30162434192337,24.077244399869763,2.050559708758748,QSO,1.3124877427636692,0.5719263114041068,5.090032509675926E-4,45.74355753501869,,0.0,true
39628351601642873,193.32006897481506,23.99137533219036,1.871156496182767,QSO,0.08278878622909303,0.0,2.8483328570923895E-5,45.8848291187976,,5.246035138360053E24,true
39628351605834147,193.40996118778756,24.077537464802944,1.5952318517416821,QSO,-0.0072839063314016905,0.0,4.199896014962921E-5,45.21161283143403,,0.0,true
