target,RA,DEC,gmag_AB,mag_to_enter,t_spec_snr10_s,t_img_snr10_s,t_spec_snr10_p1_s,t_img_snr10_p1_s,n_exp_img_snr10_p1,t_spec_snr10_p10_s,t_img_snr10_p10_s,n_exp_img_snr10_p10,t_spec_snr5_s,t_img_snr5_s,t_spec_snr5_p1_s,t_img_snr5_p1_s,n_exp_img_snr5_p1,t_spec_snr5_p10_s,t_img_snr5_p10_s,n_exp_img_snr5_p10
J143027.14+152514.8,217.613114,15.420809,19.905,20.66,8182.21707050965,10289.733268668437,818221.7070509649,1028973.3268668436,572,81822.17070509649,102897.33268668436,58,2433.4608946205067,2601.2944240152,243346.08946205067,260129.44240152,145,24334.608946205066,26012.944240152,15
J134039.67+051419.7,205.165295,5.238808,19.944,20.7,8694.611271488626,11004.309381235507,869461.1271488626,1100430.9381235507,612,86946.11271488626,110043.09381235507,62,2570.0521150234367,2780.1530117333386,257005.21150234368,278015.30117333384,155,25700.521150234366,27801.530117333386,16
J150152.94+020604.9,225.470607,2.101365,20.006,20.76,11754.098214526299,12174.794808054092,1175409.8214526298,1217479.4808054091,677,117540.98214526298,121747.94808054091,68,3177.0799621823867,3073.0856758231293,317707.99621823867,307308.5675823129,171,31770.799621823866,30730.856758231293,18
J115449.31+112705.8,178.705467,11.451632,20.039,20.79,12357.172792941503,12808.124751980762,1235717.2792941502,1280812.475198076,712,123571.72792941502,128081.24751980761,72,3330.086841714164,3231.569158133454,333008.6841714164,323156.9158133454,180,33300.86841714164,32315.69158133454,18
TARGETID_39633426973720698,135.98888628935276,63.46760257911575,20.11,20.86,13895.014900177695,14422.808857896685,1389501.4900177696,1442280.8857896684,802,138950.14900177694,144228.08857896685,81,3719.6026181369602,3635.580548152625,371960.261813696,363558.0548152625,202,37196.0261813696,36355.805481526244,21
J110018.80+080455.3,165.078368,8.082062,20.163,20.92,15373.676760168095,15974.966709410819,1537367.6760168094,1597496.6709410818,888,153736.76760168094,159749.66709410818,89,4093.4112529569074,4023.8986910652316,409341.1252956907,402389.86910652317,224,40934.11252956907,40238.98691065231,23
J132210.17+084232.9,200.542416,8.709141,20.179,20.93,15635.8658735942,16250.119661063607,1563586.58735942,1625011.9661063608,903,156358.658735942,162501.19661063605,91,4159.632008312353,4092.732233269534,415963.20083123527,409273.22332695336,228,41596.32008312352,40927.32233269534,23
TARGETID_39633267170738647,168.1081543185948,51.31365653194564,20.252,21.0,17607.132683078413,18318.68372936696,1760713.2683078412,1831868.3729366958,1018,176071.32683078412,183186.83729366958,102,4657.02277929613,4610.181290384171,465702.27792961296,461018.1290384171,257,46570.22779296129,46101.81290384171,26
J150013.42+123645.2,225.055919,12.612562,20.266,21.02,18216.8907731455,18958.418905648083,1821689.07731455,1895841.8905648082,1054,182168.907731455,189584.18905648083,106,4810.724293405243,4770.200227406996,481072.42934052425,477020.02274069964,266,48107.242934052425,47702.002274069964,27
TARGETID_39633136459448983,237.5396082285466,43.21716232642482,20.344,21.1,20885.703931178115,21757.722822426782,2088570.3931178115,2175772.282242678,1209,208857.03931178115,217577.2282242678,121,5482.777247145187,5470.3544099639275,548277.7247145188,547035.4409963927,304,54827.77247145187,54703.54409963927,31
TARGETID_39633149587623462,235.6726160801136,44.04167727341049,20.38,21.13,21988.89797896054,22914.505534992448,2198889.797896054,2291450.5534992446,1274,219888.9797896054,229145.05534992446,128,5760.312686644678,5759.668146022374,576031.2686644678,575966.8146022373,320,57603.12686644678,57596.681460223735,32
TARGETID_39633325387681000,184.76983939003213,55.358007567620525,20.419,21.17,23555.020894545665,24556.5542495552,2355502.0894545666,2455655.42495552,1365,235550.20894545663,245565.54249555198,137,6154.090825068458,6170.333612694798,615409.0825068458,617033.3612694797,343,61540.90825068457,61703.33612694798,35
TARGETID_39633396137198490,188.24557855679964,60.64483091315664,20.514,21.27,27998.158617982506,29213.281112286422,2799815.8617982506,2921328.111228642,1623,279981.58617982507,292132.8111228642,163,7270.156336280813,7334.878443121257,727015.6336280813,733487.8443121257,408,72701.56336280813,73348.78443121257,41
TARGETID_39633432401152732,143.13331950863065,63.96656862951787,20.552,21.3,29494.034007004553,30780.48931336395,2949403.400700455,3078048.931336395,1711,294940.3400700455,307804.8931336395,172,7645.617396880485,7726.783999477622,764561.7396880485,772678.3999477623,430,76456.17396880484,77267.83999477622,43
TARGETID_39633325958105931,244.0877145084918,55.272482721591714,20.83,21.58,48141.19111465894,50302.17780151252,4814119.111465894,5030217.780151252,2795,481411.9111465894,503021.77801512514,280,12319.422938220683,12608.061187453375,1231942.2938220683,1260806.1187453375,701,123194.22938220683,126080.61187453374,71
TARGETID_39633162619324602,239.82711978608705,44.87297213069845,20.851,21.6,49868.7160760604,52109.52615413611,4986871.60760604,5210952.615413611,2895,498687.160760604,521095.2615413611,290,12752.039310297998,13059.95220351623,1275203.9310297999,1305995.220351623,726,127520.39310297997,130599.5220351623,73
TARGETID_39633387157195822,190.92017609948348,59.96621458301362,21.063,21.81,72335.53104422736,75602.48987795423,7233553.104422736,7560248.987795423,4201,723355.3104422736,756024.8987795422,421,18375.591048584924,18933.708191661033,1837559.1048584923,1893370.8191661034,1052,183755.91048584922,189337.08191661033,106
TARGETID_39632946793025886,253.4063567330205,33.32386308652351,21.261,22.01,103349.77296870406,108007.17719177241,10334977.296870405,10800717.71917724,6001,1033497.7296870406,1080071.771917724,601,26134.37200174702,27035.292284508738,2613437.200174702,2703529.228450874,1502,261343.7200174702,270352.92284508736,151
TARGETID_39633311366122701,182.54323179132584,54.324657987216426,21.274,22.03,107116.85695577571,111941.84739885113,10711685.695577571,11194184.739885112,6219,1071168.5695577571,1119418.4739885111,622,27076.604373444985,28018.997303053082,2707660.4373444985,2801899.730305308,1557,270766.04373444984,280189.9730305308,156
J140658.28+161142.6,211.742836,16.195199,21.517,22.27,164842.69505547275,172206.72049668178,16484269.505547276,17220672.049668178,9568,1648426.9505547273,1722067.2049668177,957,41512.86650051029,43085.61786874107,4151286.650051029,4308561.786874107,2394,415128.66500510287,430856.1786874107,240
TARGETID_39628379145637914,196.26523931296205,25.143506162145663,21.624,22.38,201013.17013934924,209948.68174283823,20101317.013934925,20994868.174283825,11664,2010131.7013934923,2099486.817428382,1167,50557.2902489169,52521.26614729719,5055729.024891689,5252126.614729718,2918,505572.902489169,525212.6614729719,292
TARGETID_39628346081936841,193.9913925336701,23.84899287147942,21.735,22.49,245225.1292026667,256070.16005039122,24522512.92026667,25607016.005039122,14227,2452251.292026667,2560701.600503912,1423,61611.875565674585,64051.779078554435,6161187.556567458,6405177.907855444,3559,616118.7556567459,640517.7907855443,356
TARGETID_39633085267968176,111.8156942907269,40.58307450709765,22.004,22.76,272834.91256935365,417556.856225332,27283491.256935365,41755685.6225332,23198,2728349.1256935364,4175568.56225332,2320,68967.26399634226,104423.75090790025,6896726.399634225,10442375.090790024,5802,689672.6399634226,1044237.5090790024,581
J143404.58+093528.5,218.519077,9.591255,23.001,23.75,1635549.4251191923,2540499.745302965,163554942.51191923,254049974.53029647,141139,16355494.251191923,25404997.453029647,14114,409680.77943657746,635160.1116928493,40968077.94365775,63516011.16928493,35287,4096807.7943657744,6351601.116928493,3529
